2015-03-03 13:32:29-08,34.18098,-118.20734
2015-03-03 13:32:30-08,34.18131,-118.20757
2015-03-03 13:32:31-08,34.18131,-118.20757
2015-03-03 13:32:32-08,34.18131,-118.20757
2015-03-03 13:32:34-08,34.18266,-118.20854
2015-03-03 13:32:35-08,34.18266,-118.20854
2015-03-03 13:32:36-08,34.18308,-118.20883
2015-03-03 13:32:41-08,34.18442,-118.20981
2015-03-03 13:32:42-08,34.18442,-118.20981
2015-03-03 13:32:43-08,34.18442,-118.20981
2015-03-03 13:32:44-08,34.18564,-118.21077
2015-03-03 13:32:45-08,34.18564,-118.21077
2015-03-03 13:32:49-08,34.18564,-118.21077
2015-03-03 13:32:50-08,34.1873,-118.21205
2015-03-03 13:32:51-08,34.1873,-118.21205
2015-03-03 13:32:52-08,34.18792,-118.21249
2015-03-03 13:32:53-08,34.18792,-118.21249
2015-03-03 13:33:05-08,34.18792,-118.21249
2015-03-03 13:33:25-08,34.18792,-118.21249
2015-03-03 13:33:28-08,34.18792,-118.21249
2015-03-03 13:33:52-08,34.18792,-118.21249
2015-03-03 13:35:47-08,34.23994,-118.256
2015-03-03 13:42:34-08,34.23994,-118.256
2015-03-03 13:42:35-08,34.18474,-118.2426
2015-03-03 13:42:37-08,34.18474,-118.2426
2015-03-03 13:43:21-08,34.18474,-118.2426
2015-03-03 13:43:23-08,34.18474,-118.2426
2015-03-03 13:43:28-08,34.16995,-118.22365
2015-03-03 13:43:31-08,34.16925,-118.22245
2015-03-03 13:43:32-08,34.16925,-118.22245
2015-03-03 13:43:46-08,34.16925,-118.22245
2015-03-03 13:43:53-08,34.16613,-118.21255
2015-03-03 13:43:54-08,34.16602,-118.21239
2015-03-03 13:44:09-08,34.16602,-118.21239
2015-03-03 13:44:14-08,34.16153,-118.2111
2015-03-03 13:44:19-08,34.16153,-118.2111
2015-03-03 13:44:31-08,34.16153,-118.2111
2015-03-03 13:45:06-08,34.16153,-118.2111
2015-03-03 13:45:09-08,34.16125,-118.21031
